id	text	label
train-218	as predictable as the tides 	0
train-307	becomes one more dumb high school comedy about sex gags and prom dates 	0
train-456	a heavy-handed indictment of parental failings and 	0
train-716	no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time 	0
train-908	time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life 	0
train-1089	an ebullient tunisian film about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing . 	1
train-1350	to address his own world war ii experience in his signature style 	1
train-1384	for one splendidly cast pair 	1
train-1437	liked a lot of the smaller scenes 	1
train-1798	expresses our most basic emotions 	1
train-2027	likeable thanks to its cast , its cuisine and its quirky tunes 	1
train-2299	this movie 's lack of ideas 	0
train-2657	you 'll cheer . 	1
train-2700	a worthwhile moviegoing experience 	1
train-2719	no foundation 	0
train-2861	loose , unaccountable 	0
train-3145	is an actress works as well as it does because ( the leads ) are such a companionable couple . 	1
train-3216	imagine ( if possible ) a pasolini film without passion or politics 	0
train-3418	technically sumptuous but also almost wildly alive 	1
train-3426	no laughs . 	0
train-3458	presence to become a major-league leading lady , ( but ) 	1
train-3613	there 's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme . 	0
train-3858	the wrong things 	0
train-3962	reduces wertmuller 's social mores and politics to tiresome jargon 	0
train-4377	is a gorgeous film - vivid with color , music and life . 	1
train-4757	laughing 	1
train-5266	fine , old-fashioned-movie movie 	1
train-5513	buy is an accomplished actress , and 	1
train-5539	are quite touching 	1
train-5668	gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record 	1
train-5948	striking 	1
train-6024	... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? 	0
train-6114	have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies 	0
train-6372	for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises . ' 	0
train-6383	little too obvious , but 	0
train-6491	's something of the ultimate scorsese film 	1
train-6551	would make it a great piece to watch with kids and use to introduce video as art . 	1
train-6819	devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity 	1
train-7155	make a film in which someone has to be hired to portray richard dawson 	0
train-7362	about compassion , sacrifice , and christian love 	1
train-7551	, there is almost nothing in this flat effort that will amuse or entertain them , either . 	0
train-7618	because it was particularly funny 	1
train-7644	go to a picture-perfect beach during sunset 	1
train-7751	this flick is fun , and host to some truly excellent sequences . 	1
train-7855	yet another visit 	0
train-8526	for the faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers 	1
train-8658	the usual movie rah-rah 	0
train-8709	seems suited neither to kids or adults . 	0
train-8731	of the best of the swashbucklers 	1
train-8850	far more meaningful 	1
