id	text	label
train-1	can you tell me how to say 'i do not speak much spanish', in spanish	8
train-7	please tell me how to ask for a taxi in french	8
train-9	what is the correct way to say 'i am a visitor' in french	8
train-10	how would i say, 'i don't know the answer' in spanish	8
train-15	i would like to know how to say hello in french	8
train-18	how do you say hi in french	8
train-20	translate hello in french	8
train-21	how is hello said in french	8
train-22	what do you call a subway if you were english	8
train-24	how should i say hello in french	8
train-28	translate hello to english	8
train-35	how do vietnameses people say hello	8
train-41	what is hello in french	8
train-44	translate hello to french	8
train-47	how do they say goodbye in hawaii	8
train-51	what do i say for goodbye in hawaii	8
train-52	translate hello into french for me	8
train-56	what is spanish for hello	8
train-57	how would i say hello in french	8
train-62	do you know how to say where is the restroom in french	8
train-63	how would i say pleased to meet you if i were japanese	8
train-67	how would i say goodbye if i were norwegian	8
train-68	how would i say i love you if i were french	8
train-69	how would i say hello if i were swedish	8
train-70	can you translate good bye into russian for me	8
train-71	can you translate i have to go pee into korean for me	8
train-72	how would i say i'm not guilty if i were mexican	8
train-74	how does one say thank you in spanish	8
train-79	how do they say "where's the bathroom" in spanish	8
train-81	how do they say "i love you" in japanese	8
train-82	how do they say "what's up" in chinese	8
train-84	how do you say please in arabic	8
train-85	how do you say cat in spanish	8
train-86	how do you say i'm hungry in french	8
train-87	how do you say i need coffee in dutch	8
train-89	can you translate cat into russian for me	8
train-90	can you translate bowl into russian for me	8
train-92	i wanna know a phrase in spanish	8
train-93	can you translate bat into russian for me	8
train-97	how do they say hello in germany	8
train-204	i need to set the timer for two minutes	7
train-205	can you set a timer for me for fifteen minutes starting now	7
train-211	i want a timer set	7
train-212	remind me in (x) hours	7
train-215	please set a timer for me	7
train-216	i need a 10 minute timer	7
train-217	i wish to have a 10 minute timer	7
train-221	i want a 10 minute timer	7
train-222	i gotta set a timer	7
train-223	set a 10 minute timer	7
train-226	i must set a timer	7
train-235	can u please set the timer for 5 minutes	7
train-238	set a one hour timer	7
train-239	please set a timer for 20 minutes	7
train-241	set a timer for two hours	7
train-242	can you set a two hour timer	7
train-244	you need to set the timer for me	7
train-245	i need you to set timer for me	7
train-246	please set the timer for me	7
train-249	i need you to set a time	7
train-250	i need a timer set for 15 minutes	7
train-252	set a timer for 15 minutes	7
train-254	let's get a timer set for 5 minutes	7
train-255	set a timer for 35 minutes	7
train-257	let's get a timer going for 10 minutes	7
train-258	i need a timer for 20 seconds	7
train-261	give me a 10 minute countdown	7
train-263	i'm cooking an egg, timer for 3 mins	7
train-269	create a timer for me	7
train-271	i need to set a timer	7
train-272	set up a timer	7
train-274	lets set a timer for me	7
train-278	set a seven minute timer	7
train-279	start a timer for me	7
train-283	i want a timer for 5 minutes	7
train-284	timer for 5 minutes	7
train-291	set an alarm for nine minutes from now	7
train-294	want 5 minute timer	7
train-298	can you please the timer	7
train-299	will you set the timer	7
train-300	what is the meaning of realism	3
train-306	what is let it be mean	3
train-308	what is the meaning of stupendous	3
train-312	what is the meaning of hyperactive	3
train-314	what is stupedous meant	3
train-315	find the meaning of qat	3
train-316	what the heck is qat	3
train-317	define qat for me	3
train-319	look up qat please	3
train-320	what might the meaning of altruism be	3
train-324	what is the meaning of altruism	3
train-325	affiliate's definition is what	3
train-326	the definition of affiliate is	3
train-328	what's affiliate definition	3
train-330	whats the definition of poor	3
train-332	what does "money" mean	3
train-333	tell me what the word die means	3
train-336	what does tertiary mean	3
train-342	use the word ataraxy in a sentence	3
train-349	what's the definition of analogy	3
train-351	definition of anachronism	3
train-352	what's the definition of patriarchy	3
train-354	please share the definition of episcopalian	3
train-357	define thoroughbred	3
train-362	what is the definition of flange	3
train-366	what is the meaning of flange	3
train-370	where i can use word "rescind	3
train-372	what does ajar mean	3
train-374	tell me what monstrosity means	3
train-380	do you know what calumny means  please look it up for me	3
train-382	tell me what edict means	3
train-384	can you tell me what dirge means	3
train-386	whats the definition of transmute	3
train-388	what is meant by defense	3
train-391	define zesty	3
train-394	what is the definition of zesty	3
train-395	what does zesty mean	3
train-397	what does alternative mean	3
train-398	give me the meaning of alternative	3
train-399	tell me the meaning of alternative	3
train-1407	let me know the current time in the central timezone	6
train-1408	tell me what time it is in the central timezone	6
train-1410	what is the time right now in the hst timezone	6
train-1411	can you tell me the current time	6
train-1413	i need to know what time it is in florida	6
train-1415	in the mst time zone, what time is it right now	6
train-1417	can you tell me the current time in the pacific timezone	6
train-1419	what is the current est time	6
train-1423	what time would it be in rome right now	6
train-1425	what's the time set to in florida right now	6
train-1426	what time is it currently in istanbul	6
train-1429	current time, please	6
train-1431	can you give me the time	6
train-1432	please let me know what time it is	6
train-1436	what is the exact time	6
train-1440	what time is it exactly	6
train-1441	what is the time now	6
train-1444	what is the time in sydney, australia	6
train-1445	what time is it in honolulu	6
train-1448	what time is it on the pacific coast right now	6
train-1454	what time is it in the eastern standard timezone	6
train-1456	what time is it in the alaska standard timezone	6
train-1458	what time is it in the mountain standard timezone	6
train-1460	at the moment what is the time	6
train-1462	what time is it now	6
train-1466	what is the current time in new york	6
train-1469	what time is it in north korea	6
train-1470	what does it say on the clock	6
train-1472	in tokyo, what time is it	6
train-1479	i would like to know the time	6
train-1482	in the eastern timezone, what time is it now	6
train-1484	what's the current time now cst	6
train-1485	in pacific time, what's the current time	6
train-1487	what is the current time, please	6
train-1489	what is the time, please	6
train-1490	how is the time	6
train-1492	what time is it in london	6
train-1494	what time is it in paris	6
train-1497	what's the time in anchorage timezone	6
train-1498	in bst timezone, what time is it	6
train-5803	can you tell me what 30% off 279 is	1
train-5805	what is the sum of 3 plus 5	1
train-5806	could you tell me what 30% off 235 is, please	1
train-5809	what is the sum of 10 plus 5	1
train-5812	what is an 18 percent tip on 20 dollars	1
train-5813	what is 25 percent of 6999	1
train-5816	i need to know what is 85% of $1500	1
train-5818	what is 55 times 300	1
train-5820	will you help me with a math problem	1
train-5829	what is 10 + 20	1
train-5833	what is 15% of 3143	1
train-5834	what is the square root of 10294	1
train-5835	how many square feet is a 13 by 74 room	1
train-5836	what is three quarters of one sixth	1
train-5838	what is the square root of 144	1
train-5839	what is the antilog of 365	1
train-5840	what is 78 times 85	1
train-5841	what is 250 times 118 times 9	1
train-5845	i need you to help me with some math if you can	1
